epoch,total_loss,seg_loss,depth_loss,w_seg,w_depth,sig_seg,sig_depth,val_miou,val_absrel,val_delta,combined_score
55,-1.913508,0.627285,0.031835,1.5941,31.4533,0.6275,0.0317,0.794816,0.117513,0.860367,0.677304
56,-1.922686,0.627839,0.031516,1.5926,31.6062,0.6272,0.0316,0.795398,0.118220,0.852795,0.677178
57,-1.920073,0.627581,0.031612,1.5939,31.6176,0.6286,0.0316,0.795351,0.119202,0.851489,0.676149
58,-1.930553,0.627133,0.031304,1.5946,31.7695,0.6281,0.0314,0.795220,0.119413,0.849646,0.675807
59,-1.944265,0.628035,0.030831,1.5920,31.9853,0.6282,0.0311,0.796240,0.117803,0.859764,0.678437
60,-1.930760,0.627507,0.031280,1.5936,32.1384,0.6268,0.0312,0.795947,0.126091,0.855180,0.669856
61,-1.936937,0.627321,0.031096,1.5939,31.9946,0.6278,0.0311,0.795323,0.119218,0.854539,0.676105
62,-1.942635,0.627576,0.030907,1.5936,32.1994,0.6277,0.0310,0.795316,0.116524,0.858364,0.678792
63,-1.944734,0.627341,0.030854,1.5942,32.3405,0.6279,0.0310,0.795511,0.115708,0.860011,0.679804
64,-1.951453,0.626387,0.030694,1.5961,32.2827,0.6269,0.0308,0.796018,0.116005,0.865439,0.680014
65,-1.933811,0.627881,0.031165,1.5929,32.3464,0.6273,0.0309,0.795863,0.115933,0.862719,0.679930
66,-1.960823,0.627473,0.030352,1.5943,32.4600,0.6288,0.0307,0.795992,0.114738,0.868104,0.681254
67,-1.955468,0.627195,0.030532,1.5936,32.5555,0.6278,0.0306,0.795959,0.116755,0.859795,0.679203
68,-1.948174,0.626974,0.030766,1.5952,32.6642,0.6278,0.0307,0.795638,0.115949,0.865280,0.679689
69,-1.958975,0.627106,0.030429,1.5942,32.6301,0.6272,0.0306,0.795038,0.116178,0.855976,0.678860
70,-1.972629,0.626610,0.030037,1.5957,32.8254,0.6270,0.0304,0.795426,0.117435,0.861929,0.677991
71,-1.957401,0.627462,0.030460,1.5943,32.8582,0.6276,0.0304,0.796313,0.117661,0.854703,0.678651
72,-1.952095,0.627190,0.030635,1.5942,32.8698,0.6269,0.0305,0.795995,0.116910,0.859896,0.679084
73,-1.966166,0.626594,0.030235,1.5955,32.8706,0.6266,0.0304,0.795777,0.117743,0.859731,0.678035
74,-1.967875,0.627159,0.030156,1.5949,32.9271,0.6271,0.0303,0.795747,0.117121,0.862838,0.678626
75,-1.966493,0.627513,0.030182,1.5942,32.9847,0.6275,0.0303,0.795542,0.116121,0.861594,0.679421
76,-1.964954,0.627275,0.030240,1.5939,33.0359,0.6275,0.0303,0.795445,0.115743,0.859358,0.679702
77,-1.966661,0.627099,0.030197,1.5938,33.0014,0.6270,0.0303,0.795896,0.117078,0.857209,0.678817
78,-1.963729,0.626916,0.030294,1.5953,33.0254,0.6270,0.0303,0.795663,0.114186,0.868234,0.681476
79,-1.964427,0.626749,0.030281,1.5951,33.0218,0.6268,0.0303,0.795664,0.117495,0.855982,0.678169
80,-1.967379,0.627165,0.030172,1.5949,33.0186,0.6270,0.0303,0.795890,0.115897,0.860819,0.679994
